sentence	sentence_id	locale	reason
Fue acompañado por distintos científicos y amigos.	00eaa6f45fb3b5e326f91ae07f28910fb4b35ae14aeeab0c2ea9172d613122ee	es	Se escucha entrecortado
Ambas ciudades forman una conurbación, denominada área metropolitana de Santander-Torrelavega.	00e78e6062347396d1245d8b4225695a896cdb398e621fb758906da3949b193a	es	Se escucha muy entrecortado
"Interactive Entertainment""."	010d17c0b5469ae47d4c5b7afbadee0f8f0c27150f647655fd27228945bd3d58	es	different-language
La Lande-Chasles	00df4da773c90f90df17837b142a16a31f51ceb101b5ae58d526a0b7bce018e6	es	different-language
La victoria francesa en la batalla fue prácticamente aplastante.	0193b8485c9f43c306eaf6aa6c5f42e101f0cf8a95c3fb4f0da4d3790cd50770	es	Por lo genera están bien pero en algunos casos no es exactamente como se hablaría en mi idioma.
"Why Don't We?""."	01b08ba5dfe93421b070567d906622dc23542442c17f13a3b5e5447aef8917f0	es	different-language
Por ello cuenta con un clima variado, con diferencia notables en la temperatura promedio.	01dccd6009988be37d404398333fa2f02c17590dbb111cd6e9ea504367ad71a7	es	grammar-or-spelling
Su teorías han sido fuertemente criticadas por la comunidad científica internacional.	01e674913d035163a0cfd3d2076105233d72908c76cee9c477d39133d7464d96	es	grammar-or-spelling
Jornada muy larga, con mucho kilómetros y con poco movimiento en el pelotón.	01f36b2920d4a633dc0c8cc268964b079bc010f64a1eb763f5c13c4949a63812	es	grammar-or-spelling
Por ello cuenta con un clima variado, con diferencia notables en la temperatura promedio.	01dccd6009988be37d404398333fa2f02c17590dbb111cd6e9ea504367ad71a7	es	grammar-or-spelling
Las hojas se han usado como sustituto del lúpulo en la fabricación de cerveza.	01ef3e8f5f2a681552abd0b43534f67c20df24f1da401be9d21f2881c2ae37a3	es	grammar-or-spelling
D. Fr.	01a4b72514b8353b6ffe881300046c347a6e505c9ad650830432090928cf13ce	es	difficult-pronounce
Se encuentra cerca de las frontera con Bielorrusia y Ucrania.	01cee240522803318b732b0fe89007ff9091346a99f44416bd6ffef3d34e96b7	es	grammar-or-spelling
La ganadería se basa e la cría de bovinos y ovinos.	01a15f766c3ca31347c9c41235576b6fd9cb1a84c812b9e9a3790d58314acc48	es	grammar-or-spelling
Está ubicada a al este de Belfort, cerca de Alto Rin.	023a461973de1de1315c913f94cf8e07634750dc447b600506bf0dc9c565eb94	es	grammar-or-spelling
La ganadería se basa e la cría de bovinos y ovinos.	01a15f766c3ca31347c9c41235576b6fd9cb1a84c812b9e9a3790d58314acc48	es	grammar-or-spelling
Se conoce a cada grupo por más de un nombre.	0268c19df0cf2cd8a1419dad57316177bcd51d5e1298672266a1561f1d35dce3	es	Se escucha muy mal
La ganadería se basa e la cría de bovinos y ovinos.	01a15f766c3ca31347c9c41235576b6fd9cb1a84c812b9e9a3790d58314acc48	es	grammar-or-spelling
"S"""" bajo la dirección de la Dra."	028b65f7cab17885917aa122a265881abff64dc56ab1c6b8434051595d14a86b	es	grammar-or-spelling
Exeter United Kingdom-Reino Unido.	02935321b02de87414dae92ef586ea17d9956c501d2e6ffabe109679eb0ce11a	es	different-language
Du Bois Medal.	0276e597cff5650950b53be21fa0387b9d744b6cea8d5800d38fa49cf77563b9	es	different-language
"El nombre proviene del jemer អូរកែវ: ""o keo"", que significa ‘canal de cristal’."	02ae3ea06c1ec1e59307459cf9618505b66838adf267b1ce1c466e90cb47f044	es	difficult-pronounce
"El nombre proviene del jemer អូរកែវ: ""o keo"", que significa ‘canal de cristal’."	02ae3ea06c1ec1e59307459cf9618505b66838adf267b1ce1c466e90cb47f044	es	difficult-pronounce
Show your colours!	02a35e0177bdc4721504412e6a4773095792487bab5aa8b501e05a694207984e	es	different-language
Al final de una visita, Mrs.	0270d4eb1a6fba4d82292f5813dedfd6faf49993ee7519ca3eac2adf06e24b97	es	difficult-pronounce
Kenta Hirose	02a4a4cc3c69954f2f99b5b0dae8c37739f0d2c73f68aba73c0d52b781e83ce9	es	different-language
"Riviera-Pays-d'Enhaut se encuentra situado al este del cantón, a orillas del lago Lemán."	02a0ae6c5691decf5f1d7e1e198529fd06694b53a87ba5a53f018699fe72534c	es	difficult-pronounce
"Eleanor Bramwell en ""Bramwell"", y Eleanor en ""The Buddha of Suburbia""."	02c6279abeef6f5c967e5a300712e7bfc88e01c2fd2f47d4e9219e03d255167a	es	difficult-pronounce
"Eleanor Bramwell en ""Bramwell"", y Eleanor en ""The Buddha of Suburbia""."	02c6279abeef6f5c967e5a300712e7bfc88e01c2fd2f47d4e9219e03d255167a	es	different-language
Fue nombrado Swedenborg en honor al científico, teólogo, filósofo y místico sueco Emanuel Swedenborg.	02d28718a302d82f60ad4bf96df349f3b66ffefbe6120ce5247f49f5dabc4402	es	difficult-pronounce
La autopista inicia en el sur desde la en East St.	02ac34a683e25ef41b1391ce7b7a7b141bcd605fadbc89ded6944b0dead2f940	es	difficult-pronounce
Wu Shu, Shaolin Chuan y Wing Chung, como ejemplos, son Kun Do.	02d94ba426ab181d5984453e7d3e010362e7acb5e29550872a0de1e1d2d7f254	es	difficult-pronounce
D. Fr.	01a4b72514b8353b6ffe881300046c347a6e505c9ad650830432090928cf13ce	es	grammar-or-spelling
Murilo Sebastião Ramos Krieger.	02d50121a28f399ad1654c71460cf991822b9b220418cea5a146f27d65c54f42	es	different-language
"Pepper's Lonely Hearts Club Band"", ""Revolver"", ""Rubber Soul"", ""The Beatles"" y ""Abbey Road""."	02d03f7762801799805d9c51f546ed92d356bc805cd1c02485343d068a8a2c25	es	different-language
Murilo Sebastião Ramos Krieger.	02d50121a28f399ad1654c71460cf991822b9b220418cea5a146f27d65c54f42	es	different-language
El lugar de centralización se ubicó a Fontainebleau.	02f706c74a8c79e0589af3b81f3d978dcf9fcc760c006eda1708a3b41221bd23	es	grammar-or-spelling
"Su figura histórica aparece en la ""saga de Egil Skallagrímson"", y ""saga Eyrbyggja""."	031466e9f214530f11644812fad88c3d88b13bfdcf8aba95bf2d9ed61a37c13d	es	different-language
"Su figura histórica aparece en la ""saga de Egil Skallagrímson"", y ""saga Eyrbyggja""."	031466e9f214530f11644812fad88c3d88b13bfdcf8aba95bf2d9ed61a37c13d	es	difficult-pronounce
Shinya Aikawa	0315b0513071b870b6e4943cadb7a49363177ecdd1c39c067b3b5278d43360f3	es	different-language
Fructifica desde en el otoño.	030c9ba8a7e9ba8166ab1c39ef3e42f682bcf19d65787107d99a93203c1edb9c	es	grammar-or-spelling
Shinya Aikawa	0315b0513071b870b6e4943cadb7a49363177ecdd1c39c067b3b5278d43360f3	es	different-language
Louis, Missouri, y miembro del grupo St.	031af32e85822187cb2af9ed367b329b10fd6abede987efef030c2566c3212fa	es	different-language
Louis, Missouri, y miembro del grupo St.	031af32e85822187cb2af9ed367b329b10fd6abede987efef030c2566c3212fa	es	difficult-pronounce
Pertenece a la corriente Rinzai del budismo y está dedicado al Buddha Amitābha.	02ca25c1cc6c529349f39e6285afbf6bb77ea45bbc8b6337dc5b7c9c63adb9d9	es	difficult-pronounce
Takuya Matsuura	03040cf8fcd47b68e1c7f62b5d71b57bfb58b65fa6ab5a7bfbbd13c0473075dc	es	different-language
Más tarde, Schleyer dijo que Dios mismo le guio en esta labor.	02e83f83b3946ac3a11e5f62fffd3470b1fac6e201aa47d6613adf691f452e8f	es	difficult-pronounce
Tōru Irie	02f0b6909aaddcbe5c1b6454972d54090709e92cd24dc6dde694f0285965328c	es	different-language
La victoria fue para Carl Schlechter.	031bd1a49712247171b42dcf5ddce9505a5122e7052e690a39134a55a1e1c59f	es	difficult-pronounce
"Su figura histórica aparece en la ""saga de Egil Skallagrímson"", y ""saga Eyrbyggja""."	031466e9f214530f11644812fad88c3d88b13bfdcf8aba95bf2d9ed61a37c13d	es	difficult-pronounce
Forma parte del cantón de Echternach.	0326f75210c5c649034fcdb8cb6a6a038836118bbad81f7b52cfcf3b1672bb38	es	difficult-pronounce
Le Plessier-sur-Bulles	0352c1deb31ccf8689fe6acf32c710ed958e61392735bac5f3aacbe16f62051f	es	different-language
Provincias oficial en el que participa anualmente.	03859b1c0115349bc7210c1d566e7f09a1a3a71119d0f62099e594eb1d9a6dd1	es	grammar-or-spelling
Tōru Irie	02f0b6909aaddcbe5c1b6454972d54090709e92cd24dc6dde694f0285965328c	es	different-language
"Drum Attack""."	037e3d51913582459c32296a14ae432217022f10d9eeb21d23d8ca8ed44f9dda	es	different-language
"Con el nombre artístico de Michael Ames, participó en ""Quiet, Please!"	038fa51281c5e12b790df9828e61a0c7f05baea0e10e6f74598ddccab5e3d999	es	difficult-pronounce
Compite con Hrafn primero en verso, y luego en la batalla.	031256ad494c72cf278e921cec5c987261a0f7f3e2b0aeacc4f0a89b7d49645c	es	difficult-pronounce
"Se graduó de ""Ferris State University"" en Big Rapids, Michigan."	037817c1d62dc144304d3f1d7f72a96383e3cb9cc998e684abaac1fe9ee48c3b	es	difficult-pronounce
Debe su nombre al río Loiret.	038badb62f4b8b291f75bcb79ab3fd619e526d3dd11dfa660ac50e1ad5ec33b1	es	difficult-pronounce
Según la clasificación climática de Köppen en el cantón predomina el clima Tropical Monzónico.	03727b3d93f3a602ecabe7ec8682effa677017d577f4857bcf6da57e07619690	es	difficult-pronounce
"Commentary and documents"" junto con Leland Goodrich."	02f670cf9d8f645cb4efe85ccd6785d8790ea1c346ae65d8aa1cbc66ff6bedd6	es	difficult-pronounce
La serie es protagonizada por Michael Douglas, Alan Arkin, Nancy Travis, y Sarah Baker.	0386ed28005cb2000c27612f9ae12edeb64e16a4b94dba5948fb587e1fcf8659	es	difficult-pronounce
Tōru Irie	02f0b6909aaddcbe5c1b6454972d54090709e92cd24dc6dde694f0285965328c	es	different-language
Ríos tributarios son Red Deer, Woody y Swan.	03a29768069fdaf9afb8f103b44ba7e2d1ef4e71796661bfe7517ca9da8c1852	es	difficult-pronounce
Inicia su carrera como actor actuando en el grupo teatral de Jean Louis Barrault.	03a0c70d69f280503971af0dfe2f6d46549ed55a175e9a4cea107a4226866a13	es	difficult-pronounce
Le Plessier-sur-Bulles	0352c1deb31ccf8689fe6acf32c710ed958e61392735bac5f3aacbe16f62051f	es	different-language
Wiley-Blackwell, ed.	039c94600f2fcdfdf1f7454d5352ebf90a9e852c76f224b0db6a28c4d6f546e3	es	difficult-pronounce
"Wendell Rand se fue de K'un-L'un el mismo día sin haber enfrentado al dragón."	039814adb5473ad413ad4f85306270123323405843746a36e551e94b305f1ce3	es	difficult-pronounce
Cuenta con una plataforma ferroviaria en la línea Tijoretsk-Salsk.	03acd1060128ba081b014d9895814b070f0a5f04612b72612fbcea340b244c16	es	difficult-pronounce
En edad juvenil abraza los ideales republicanos de Giuseppe Mazzini.	035e20067feb0f58747669cd989effe371ecf021418a7d7e3da2284ed9ae5575	es	difficult-pronounce
Se encontraba nuevamente bajo las órdenes de Von Manstein.	039f0393bf0cc1dcd0a8a98614a4c04050ceb3b247a09440b82911b8de948388	es	difficult-pronounce
"Cuando la isla fue descubierta recibió el nombre de ""São João""."	03a56daa12c3f3fce32d1c9e060775f5ae481fcdeb013b0ed38acea25ca3f0e1	es	difficult-pronounce
Cíclope da la noticia de la muerte de Banshee a su hija, Siryn.	03b0cda242f338baee22eef9c1ad195fd3d73465051eca7d3db0282af6ef38a7	es	difficult-pronounce
Le Plessier-sur-Bulles	0352c1deb31ccf8689fe6acf32c710ed958e61392735bac5f3aacbe16f62051f	es	difficult-pronounce
Su padre es originario de Caithness en el extremo norte de Escocia.	03a71669cafb5cdec71bf60c8d735d73f0de27555f03beaec64071ca24cda51f	es	difficult-pronounce
"Pʷ Es 'pw'."	03a406af7d25d6ddd3c4333191b297e8db2fb46a818ac6d07363a91c75f63cff	es	difficult-pronounce
"Allen; ""Which Side Are You On?"	038c238e64dadd689f475e872da5405ee506f5480d203ab506e71b779123924c	es	different-language
Inicia su carrera como actor actuando en el grupo teatral de Jean Louis Barrault.	03a0c70d69f280503971af0dfe2f6d46549ed55a175e9a4cea107a4226866a13	es	difficult-pronounce
"Con el nombre artístico de Michael Ames, participó en ""Quiet, Please!"	038fa51281c5e12b790df9828e61a0c7f05baea0e10e6f74598ddccab5e3d999	es	difficult-pronounce
Brisson nació en Fontenay-le-Comte.	036a10f057e0087ec661e633ad35ee15cd97bf9eb32e6fde2382f9bd1aabfabb	es	different-language
Actualmente es editado por Bryce Johns.	038c5862c6137a21379d383a223a65560ffa9ef8ab793786ad37b9814a2f7795	es	difficult-pronounce
Wiley-Blackwell, ed.	039c94600f2fcdfdf1f7454d5352ebf90a9e852c76f224b0db6a28c4d6f546e3	es	difficult-pronounce
"Se graduó de ""Ferris State University"" en Big Rapids, Michigan."	037817c1d62dc144304d3f1d7f72a96383e3cb9cc998e684abaac1fe9ee48c3b	es	difficult-pronounce
Compite con Hrafn primero en verso, y luego en la batalla.	031256ad494c72cf278e921cec5c987261a0f7f3e2b0aeacc4f0a89b7d49645c	es	difficult-pronounce
Más tarde, va Panamá con Michael Scofield y Lincoln Burrows.	0379389d47f1b4f206ccd758f2cbe833d53f82ebfa2f3ac9d4af7198ac5efc7b	es	difficult-pronounce
Brisson nació en Fontenay-le-Comte.	036a10f057e0087ec661e633ad35ee15cd97bf9eb32e6fde2382f9bd1aabfabb	es	difficult-pronounce
Bocairente y Onteniente en la provincia de Valencia.	0390bea1b1337fadaf1c24ea45379e0090086c00ac767406406a7410ce4d49f2	es	No me permite grabar :(
Les Côtes-de-Corps	0354ff35f911f0f4c38673d9e7fa1aa36211f5a35946816cc64fa3de8f765bac	es	different-language
Wiley-Blackwell, ed.	039c94600f2fcdfdf1f7454d5352ebf90a9e852c76f224b0db6a28c4d6f546e3	es	different-language
Wiley-Blackwell, ed.	039c94600f2fcdfdf1f7454d5352ebf90a9e852c76f224b0db6a28c4d6f546e3	es	grammar-or-spelling
Curiosamente Bera es el municipio de Navarra situado a menor altitud.	03d431b253991a6f7f3094ce3b712ba45fa0d96ef24947d38e4e63d7c5c7e211	es	grammar-or-spelling
Esc. Sec.Gral.	02f688b67d557104fafae02955404d62984dbe1c7f1a0f96c2058cddf8e8b5f0	es	grammar-or-spelling
Les Côtes-de-Corps	0354ff35f911f0f4c38673d9e7fa1aa36211f5a35946816cc64fa3de8f765bac	es	different-language
Actor en Tushy y Vixen.	03fb0f21800fc5ee7b20adfdd415f29b0bbea9c6a9659ebf7740271c9608b19e	es	offensive-language
Actor en Tushy y Vixen.	03fb0f21800fc5ee7b20adfdd415f29b0bbea9c6a9659ebf7740271c9608b19e	es	grammar-or-spelling
Actor en Tushy y Vixen.	03fb0f21800fc5ee7b20adfdd415f29b0bbea9c6a9659ebf7740271c9608b19e	es	different-language
Las reacciones en el Reino Unido ayudaron a intensificar estas rivalidades.	03dc5eccb12dfd2ac38918bf4baef56011debc73e93680b392f5eaa30563f01e	es	offensive-language
Las reacciones en el Reino Unido ayudaron a intensificar estas rivalidades.	03dc5eccb12dfd2ac38918bf4baef56011debc73e93680b392f5eaa30563f01e	es	grammar-or-spelling
Las reacciones en el Reino Unido ayudaron a intensificar estas rivalidades.	03dc5eccb12dfd2ac38918bf4baef56011debc73e93680b392f5eaa30563f01e	es	different-language
Las reacciones en el Reino Unido ayudaron a intensificar estas rivalidades.	03dc5eccb12dfd2ac38918bf4baef56011debc73e93680b392f5eaa30563f01e	es	"José Antonio
"
Tōru Irie	02f0b6909aaddcbe5c1b6454972d54090709e92cd24dc6dde694f0285965328c	es	different-language
Tōru Irie	02f0b6909aaddcbe5c1b6454972d54090709e92cd24dc6dde694f0285965328c	es	difficult-pronounce
Tōru Irie	02f0b6909aaddcbe5c1b6454972d54090709e92cd24dc6dde694f0285965328c	es	offensive-language
"Drum Attack""."	037e3d51913582459c32296a14ae432217022f10d9eeb21d23d8ca8ed44f9dda	es	different-language
Sleep Medicine Reviews.	0406e811891f62c737062d12b73e6001ff63de5619b13819897e2d7f37990398	es	different-language
Sleep Medicine Reviews.	0406e811891f62c737062d12b73e6001ff63de5619b13819897e2d7f37990398	es	different-language
Les Côtes-de-Corps	0354ff35f911f0f4c38673d9e7fa1aa36211f5a35946816cc64fa3de8f765bac	es	different-language
What lies behind the titanium esplendor?	041df017b152150318d64e298c21313f45ea88e38e7e7c452aae1acc2d1d9455	es	different-language
King International Entertainer.	03f5cce1bd20f1e9a08171710b4ca526c5294f0966510d5309b69c10e1bac344	es	different-language
Sleep Medicine Reviews.	0406e811891f62c737062d12b73e6001ff63de5619b13819897e2d7f37990398	es	different-language
He is glad to have made new friends.	042302391fb22eade06a772a043d2666cb683c17b199f3d1a8d5fdb5dc4d624a	es	different-language
Tōru Irie	02f0b6909aaddcbe5c1b6454972d54090709e92cd24dc6dde694f0285965328c	es	different-language
"Pʷ Es 'pw'."	03a406af7d25d6ddd3c4333191b297e8db2fb46a818ac6d07363a91c75f63cff	es	difficult-pronounce
What lies behind the titanium esplendor?	041df017b152150318d64e298c21313f45ea88e38e7e7c452aae1acc2d1d9455	es	different-language
Tōru Irie	02f0b6909aaddcbe5c1b6454972d54090709e92cd24dc6dde694f0285965328c	es	different-language
What lies behind the titanium esplendor?	041df017b152150318d64e298c21313f45ea88e38e7e7c452aae1acc2d1d9455	es	different-language
"Peter's, St."	042665b93ffacd3d6a7f8cfb2f080ced204ae9f123f0237fbf89fd466c0add35	es	different-language
Tōru Irie	02f0b6909aaddcbe5c1b6454972d54090709e92cd24dc6dde694f0285965328c	es	different-language
Sleep Medicine Reviews.	0406e811891f62c737062d12b73e6001ff63de5619b13819897e2d7f37990398	es	different-language
"Pʷ Es 'pw'."	03a406af7d25d6ddd3c4333191b297e8db2fb46a818ac6d07363a91c75f63cff	es	difficult-pronounce
Tōru Irie	02f0b6909aaddcbe5c1b6454972d54090709e92cd24dc6dde694f0285965328c	es	different-language
"Fue miembro del ""Pace Youth Theatre""."	0412dfbf309f6bce79775150f3ff5749e1fd183f886ba70c225f14ecb3959c81	es	different-language
"Soft Touch""."	0409a90146138f8d086b5792a0b362748f0f07780235579c05fa93c477e08fbf	es	different-language
Frances E. Dolan, Penguin.	0380757661c1eb83ce8e9fbffabcdad8d69c57927a3beb9becabeca63c01edbe	es	different-language
He is glad to have made new friends.	042302391fb22eade06a772a043d2666cb683c17b199f3d1a8d5fdb5dc4d624a	es	different-language
Bush, Bill Clinton, George W. Bush, Barack Obama, y Donald Trump.	042ede1b156415459e22dbd64e98e02fe0c1b30e54d2325e867dbf22d30fcdeb	es	different-language
Records y Wea.	042c756958621f3601d9c882bfc54c2084b004ed19eb90dce4a0c0dd8c495b44	es	different-language
Oliphant, sir John E. Millais, el profesor T. H. Huxley y James Russell Lowell.	0413468bbab344a6ecc6d788796a713dd2c72884b53d138bc35ffd25656a7828	es	different-language
What lies behind the titanium esplendor?	041df017b152150318d64e298c21313f45ea88e38e7e7c452aae1acc2d1d9455	es	different-language
He is glad to have made new friends.	042302391fb22eade06a772a043d2666cb683c17b199f3d1a8d5fdb5dc4d624a	es	different-language
Siria es considerada una dictadura secular con un historial pobre derechos humanos.	044d0c4d10a899e2c5691a783e8b1464e3bb5b4eddaef82e681661aafa5f4915	es	grammar-or-spelling
Siria es considerada una dictadura secular con un historial pobre derechos humanos.	044d0c4d10a899e2c5691a783e8b1464e3bb5b4eddaef82e681661aafa5f4915	es	Makes no sense in spanish
"Classic"" en Chicago."	0422fa83017afb97d0d3c3c5ef2baddb76ae3d626e7a3789a76506736c09f70e	es	grammar-or-spelling
"Botánica"" como demostrador."	045e7452ef2f60c064548f8f19b4de52a2022dec90cfa4690b4eb59c57b6d98e	es	grammar-or-spelling
En-shi se había casado con el hijo del Emperador, Ko-Ichijō.	0445517feef88dce8c7c1ae4cee0d3602b16b20eeaa32144d3f83784e78c8a5f	es	difficult-pronounce
Les Côtes-de-Corps	0354ff35f911f0f4c38673d9e7fa1aa36211f5a35946816cc64fa3de8f765bac	es	different-language
Frank Jr.	04060604baa27466869a89dfd133f935a6c4070c81655e026132bba21dcd3b6b	es	different-language
He is glad to have made new friends.	042302391fb22eade06a772a043d2666cb683c17b199f3d1a8d5fdb5dc4d624a	es	different-language
John Shaw fue capitán de Hallam y Charles Alcock capitán del Sheffield Club.	045e5e2c12993438e1aaf56461129b013833b6cce72ab73a2035c2fd1c2f8b7a	es	difficult-pronounce
Bush, Bill Clinton, George W. Bush, Barack Obama, y Donald Trump.	042ede1b156415459e22dbd64e98e02fe0c1b30e54d2325e867dbf22d30fcdeb	es	different-language
He is glad to have made new friends.	042302391fb22eade06a772a043d2666cb683c17b199f3d1a8d5fdb5dc4d624a	es	different-language
Les Salles-sur-Verdon	040d3e8169535374cba3b84b2ef1cf16cd8b6256c5b2fd8e18e276379419c10b	es	different-language
Ansearch.com.au es propietario de los motores de búsqueda y Mysearch.com.au.	0487c46486de25d3f6b341b6ae9ac9faccf7173a9bb8e6e829648697fc713ce4	es	difficult-pronounce
Bajo las órdenes de Mr.	04b5f7d6ac891ccce821a4327de52618dad69a0327126a8efa1bf2e7c8f846b3	es	difficult-pronounce
Yeah, I move the rock.	04ba37b5739642f3cadf5f46d44717857a84184e49aaa1cdd1abe97e05515196	es	different-language
Municipio de Jönköping	04af699e91f2c1fc8245885eff93bca3eacef6fa7e68836d6bb36977913c5a99	es	difficult-pronounce
Kitts-Nevis Grammar School.	04f602e8acc3a34ba9269d383f67fa54d8861bcfab954284fd3b4d0a86ebfb09	es	different-language
Tiene dos medias hermanas: la actriz Gabriella Wilde y Octavia Elsa Anstruther-Gough-Calthorpe.	04fa563482f6eb463ccdd6846280c5d9fe8eb3380a1423274a29745b9d341056	es	different-language
Tiene dos medias hermanas: la actriz Gabriella Wilde y Octavia Elsa Anstruther-Gough-Calthorpe.	04fa563482f6eb463ccdd6846280c5d9fe8eb3380a1423274a29745b9d341056	es	difficult-pronounce
Pertenece al Servicio de Salud prestados por el Estado de Uruguay.	053cba52324e45040eb68c19bb2d9e9f184dc6b561583b9faa49d94f7a780c31	es	grammar-or-spelling
Actualmente representada al estado de Wyoming en el Senado de ese país.	052af23b3e915d7eda468a48d7d33044c9aa1f4a08df35d1797524db2dfecfc9	es	grammar-or-spelling
Es interesante recalcar que el sencillo fue grabado en el Rolling Stones Mobile Studio.	04f9a36f2039c65568ca8a3d7e64310efcd99f963dba5fef203271c8a7c9efd8	es	grammar-or-spelling
Fue uno de los sencillos menos populares de Kylie Minogue.	0530cf68edfc447e126f27c0bbc8262c93560f14690a37a3a915c81a1c991739	es	grammar-or-spelling
Kitts-Nevis Grammar School.	04f602e8acc3a34ba9269d383f67fa54d8861bcfab954284fd3b4d0a86ebfb09	es	different-language
Kitts-Nevis Grammar School.	04f602e8acc3a34ba9269d383f67fa54d8861bcfab954284fd3b4d0a86ebfb09	es	different-language
"Le Plessis-l'Échelle"	0508440fe79ec813065868c62220f002a7c943114417972226e32e7e4658589b	es	different-language
La dirección y el guion estuvieron a cargo de Gastón Gallo.	0588353a9634da6f5ffdd835d201c85d09b3aa8be41dd70063e4264e661bb5a6	es	grammar-or-spelling
Está compuesto por el Gobernador del Estado Apure y un grupo Secretarios Estadales.	05520320b32591c0c40a0ee32a8fbc43066efeab523901e9b862e9cf01a43654	es	grammar-or-spelling
Farm Soundtrack.	05b1c8250c877b2e5943079cb761642537370665ad5612381876c4fce0892d2a	es	different-language
Es protagonizada por Jael Unger, Claudia Di Girolamo, Bastián Bodenhöfer y Francisco Reyes.	0597e2aca11f18cc510cbb69938339808136fee98b1408f612fb5c3feace3206	es	difficult-pronounce
Su trabajo impulsó ha promover la música cantopop con mucha popularidad sin precedentes.	05844ff0948389e4465c1279a0b073a00e1d7e7ff38c6b725cfab09b3f5f85d9	es	grammar-or-spelling
Muy influenciado inicialmente por el punk de los Sex Pistols y Kraftwerk.	05809e2902074191ca6d188bba5aa96fad14e027e00e25dd1a2fe505b1efceea	es	different-language
La Neuville-en-Beine	055df3d199ad558ec486800af50c12f05e8382e6ded8ed285a445bf9abbfb565	es	different-language
Los Sciaenidae tienen una aleta dorsal larga cerca de la cola	058bff34f89ca6dc517faf931202270b82e88e8bd84daad090ca1faddbafa376	es	difficult-pronounce
Su ciudad natal es la capital del país, Buyumbura.	0632c67ceb8951b8f7ec5eeacd3036904d8a8bece730dfff14af8bc247b21047	es	difficult-pronounce
Out the Park ent.	064d5c920a613a6047466dc3c1ed8cda5ccaf2f01c474538bf3b2ec92014af13	es	different-language
Se ubica en en el Departamento Río Cuarto, Provincia de Córdoba, Argentina.	06902c28aac9f0f679dad1dc8030f03b06cb1adf984a5b93ef8652351d320a92	es	grammar-or-spelling
Hijo de Teodoro V. Espinosa y de María Cristina Bravo.	0674a2db72dc647177dcd479e489bce038d837f4b5200b458b1f852494a1a910	es	difficult-pronounce
Hideyoshi Obata.	064cb801d7fd6d82d22266c2388d7d6e37927f624f0df4387ec9ac75fd6de8ce	es	difficult-pronounce
Hideyoshi Obata.	064cb801d7fd6d82d22266c2388d7d6e37927f624f0df4387ec9ac75fd6de8ce	es	different-language
На вікні свічі не задути.	0684cc62d0cf3d7d7ed6f7698d36f52ddd4b02c8397731f01a54a60fab383cb5	es	different-language
La Chapelle-Saint-Jean	06bbd65824290e3b290175b001cbb743a82ce3942c8a9fc64cd0b772150ee3eb	es	different-language
Su nombre aparece grabado en el Arco de Triunfo de París.	06b68738865daab8a221b8f4cc6cff00a8a8e4bd61a6a42810ac818cf09a6ff2	es	grammar-or-spelling
"Igualmente es en este periodo que son creados los ""territorios nacionales""."	06b9cb36f0d5d54d270dd41c6c27b1ae27c8b280338d31d0a41dcc9545dd7aef	es	grammar-or-spelling
